Data,Codi Estació,Codi massa d'aigua,Massa d'aigua,UTM X,UTM Y,Variable,Profunditat mostra (m),Valor,Unitat Mesura,Fondària Pou (m),Cota del nivell piezomètric (m.s.n.m)
2015/01/02,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.45,m,13.2,38.55
2015/01/02,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.45,m,13.2,40.55
2015/01/02,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.65,m,12,36.35
2015/01/21,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.53,m,13.2,38.47
2015/01/21,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.53,m,13.2,40.47
2015/01/21,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.65,m,12,36.35
2015/01/28,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.6,m,7.1,56.4
2015/01/28,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,5.61,m,15.1,29.39
2015/02/18,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.69,m,7.1,56.31
2015/02/19,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.49,m,13.2,38.51
2015/02/19,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.49,m,13.2,40.51
2015/02/19,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,9.08,m,12,35.92
2015/02/23,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.6,m,13.2,38.4
2015/02/23,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.6,m,13.2,40.4
2015/02/23,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,7.1,m,15.1,27.9
2015/02/23,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,9,m,12,36
2015/03/06,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.55,m,13.2,38.45
2015/03/06,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.55,m,13.2,40.45
